[1107/055934:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/060101:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/060440:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/063423:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/063640:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/064015:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/064608:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/065511:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/065950:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/070218:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/070424:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/070544:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/070903:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/071356:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/073210:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/021229:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/022116:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/022737:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/023811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/024941:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/060016:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/061530:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/105127:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/052737:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/054346:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/084120:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/091421:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1115/092344:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1124/060435:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1124/064213:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1124/092750:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1124/093407:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1124/094538:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1124/102626:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1124/103106:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/050909:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/053333:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/053534:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/054038:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/063525:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/064420:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/064800:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/074944:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/075734:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/080426:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/080710:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/082217:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/082444:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/090049:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1129/110242:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/024900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/025657:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/025912:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1207/053754:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1208/233316:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/021856:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/022252:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/022600:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/025600:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/051043:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/051317:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/051626:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/052551:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/075229:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/075545:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1209/075836:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1213/234617:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1214/015454:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1214/020830:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1214/023855:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1214/055051:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1214/055455:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/054653:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/055709:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/065023:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1215/065248:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0104/053222:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0104/083510:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0104/083911:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0104/084305:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0104/084647:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0104/085729:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0105/005247:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/004834:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/004925:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/010243:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/010833:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/011434:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/011918:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/012640:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/013908:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/014436:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/014731:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/083700:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/084002:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/084328:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/084921:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/085149:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0127/085647:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0130/025730:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0130/030125:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0130/030942:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0130/031459:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0130/065032:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0130/091541:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0130/093811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0130/094239:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0130/100301:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/025458:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/031717:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/050822:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/053431:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/054645:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/060358:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/060634:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/061822:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/062729:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/065815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/070413:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/070811:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/072739:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/073927:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/074524:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/090615:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/090828:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/091327:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/105009:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/105755:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/111202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/111527:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/111714:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/112022:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/063449:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/063726:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/065325:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/065604:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/075749:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/081819:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/082322:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/093554:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/093836:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/094528:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/095805:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/100815:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/101047:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/103126:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/105512:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/105957:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0201/111006:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/045005:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/113846:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/115340:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0203/053113.165:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/060814.160:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/062602.157:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/065407.469:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/071443.945:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/072310.419:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/073836.582:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/075054.546:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/075525.533:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/080132.636:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/080605.851:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/080843.119:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/081116.149:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/081707.877:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/082135.950:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/085322.991:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/091632.237:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/092138.879:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/092359.299:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
[0203/092614.615:ERROR:registration_protocol_win.cc(84)] TransactNamedPipe: The pipe has been ended. (0x6D)
